SCHOOL_DISTRICT,SCHOOL_NAME,SYS_SCH,2014,2015,2016,2017
Atlanta Public Schools,Inman Middle School,Atlanta Public Schools – Inman Middle School,328,576,424,536
Atlanta Public Schools,Morningside Elementary School,Atlanta Public Schools – Morningside Elementary School,25,,,26
Atlanta Public Schools,Connally Elementary School,Atlanta Public Schools – Connally Elementary School,315,147,69,
Atlanta Public Schools,The John Hope-Charles Walter Hill Elementary Schools,Atlanta Public Schools – The John Hope-Charles Walter Hill Elementary Schools,252,323,146,159
Atlanta Public Schools,Venetian Hills Elementary School,Atlanta Public Schools – Venetian Hills Elementary School,74,33,38,
Atlanta Public Schools,West Manor Elementary School,Atlanta Public Schools – West Manor Elementary School,25,,13,
Atlanta Public Schools,Crim High School,Atlanta Public Schools – Crim High School,189,96,84,63
Atlanta Public Schools,Beecher Hills Elementary School,Atlanta Public Schools – Beecher Hills Elementary School,28,29,27,22
Atlanta Public Schools,Fain Elementary School,Atlanta Public Schools – Fain Elementary School,184,143,134,101
Atlanta Public Schools,Peyton Forest Elementary School,Atlanta Public Schools – Peyton Forest Elementary School,66,50,41,62
Atlanta Public Schools,Sutton Middle School,Atlanta Public Schools – Sutton Middle School,272,181,507,488
Atlanta Public Schools,Fickett Elementary School,Atlanta Public Schools – Fickett Elementary School,16,,,25
Atlanta Public Schools,Scott Elementary School,Atlanta Public Schools – Scott Elementary School,147,223,68,59
Atlanta Public Schools,Whitefoord Elementary School,Atlanta Public Schools – Whitefoord Elementary School,26,19,,62
Atlanta Public Schools,Cleveland Elementary School,Atlanta Public Schools – Cleveland Elementary School,13,50,27,47
Atlanta Public Schools,Douglass High School,Atlanta Public Schools – Douglass High School,977,939,731,1398
Atlanta Public Schools,M. A. Jones Elementary School,Atlanta Public Schools – M. A. Jones Elementary School,65,78,82,91
Atlanta Public Schools,Slater Elementary School,Atlanta Public Schools – Slater Elementary School,10,23,,16
Atlanta Public Schools,Grady High School,Atlanta Public Schools – Grady High School,367,557,288,733
Atlanta Public Schools,Benteen Elementary School,Atlanta Public Schools – Benteen Elementary School,25,37,43,56
Atlanta Public Schools,Coan Middle School,Atlanta Public Schools – Coan Middle School,295,,,
Atlanta Public Schools,D. H. Stanton Elementary School,Atlanta Public Schools – D. H. Stanton Elementary School,38,56,44,30
Atlanta Public Schools,Thomasville Heights Elementary School,Atlanta Public Schools – Thomasville Heights Elementary School,171,207,170,126
Atlanta Public Schools,Dunbar Elementary School,Atlanta Public Schools – Dunbar Elementary School,177,219,137,76
Atlanta Public Schools,Kennedy Middle School,Atlanta Public Schools – Kennedy Middle School,43,,,
Atlanta Public Schools,F. L. Stanton Elementary School,Atlanta Public Schools – F. L. Stanton Elementary School,124,97,68,98
Atlanta Public Schools,Toomer Elementary School,Atlanta Public Schools – Toomer Elementary School,113,67,67,142
Bremen City,Bremen 4th & 5th Grade Academy,Bremen City – Bremen 4th & 5th Grade Academy,17,30,31,23
Bremen City,Bremen High School,Bremen City – Bremen High School,67,36,97,66
Bremen City,Bremen Middle School,Bremen City – Bremen Middle School,65,55,71,55
Buford City,Buford Academy,Buford City – Buford Academy,30,30,24,40
Buford City,Buford Middle School,Buford City – Buford Middle School,111,147,188,170
Buford City,Buford High School,Buford City – Buford High School,248,238,213,478
Calhoun City,Calhoun Middle School,Calhoun City – Calhoun Middle School,214,164,334,208
Calhoun City,Calhoun Elementary School,Calhoun City – Calhoun Elementary School,29,19,12,95
Calhoun City,Calhoun High School,Calhoun City – Calhoun High School,239,299,279,213
Carrollton City,Carrollton Middle-Upper Elementary School,Carrollton City – Carrollton Middle-Upper Elementary School,214,228,313,499
Carrollton City,Carrollton Elementary School,Carrollton City – Carrollton Elementary School,145,94,252,141
Carrollton City,Carrollton High School,Carrollton City – Carrollton High School,627,524,719,557
Carrollton City,Carrollton Jr. High School,Carrollton City – Carrollton Jr. High School,252,271,245,219
Cartersville City,Cartersville Primary School,Cartersville City – Cartersville Primary School,35,18,,22
Cartersville City,Cartersville Elementary School,Cartersville City – Cartersville Elementary School,374,224,249,256
Cartersville City,Cartersville Middle School,Cartersville City – Cartersville Middle School,511,586,780,876
Cartersville City,Cartersville High School,Cartersville City – Cartersville High School,390,538,472,530
Chickamauga City,Gordon Lee Middle School,Chickamauga City – Gordon Lee Middle School,43,33,50,41
Chickamauga City,Gordon Lee High School,Chickamauga City – Gordon Lee High School,78,60,52,67
Commerce City,Commerce Primary,Commerce City – Commerce Primary,35,23,43,
Commerce City,Commerce Middle School,Commerce City – Commerce Middle School,294,217,254,169
Commerce City,Commerce High School,Commerce City – Commerce High School,220,142,91,77
Commerce City,Commerce Elementary School,Commerce City – Commerce Elementary School,23,47,,42
Dalton City,Morris Innovative High School,Dalton City – Morris Innovative High School,24,22,24,30
Dalton City,Dalton Middle School,Dalton City – Dalton Middle School,78,58,84,32
Dalton City,Dalton High School,Dalton City – Dalton High School,24,,,34
Decatur City,Fifth Avenue Elementary,Decatur City – Fifth Avenue Elementary,48,31,24,44
Decatur City,Clairemont Elementary School,Decatur City – Clairemont Elementary School,15,,34,
Decatur City,Renfroe Middle School,Decatur City – Renfroe Middle School,195,190,163,171
Decatur City,Decatur High School,Decatur City – Decatur High School,692,447,934,363
Dublin City,Dublin Middle School,Dublin City – Dublin Middle School,738,837,220,520
Dublin City,Dublin High SChool,Dublin City – Dublin High SChool,1000,1198,583,470
Dublin City,New School,Dublin City – New School,217,147,84,200
Dublin City,Dublin City Alternative School,Dublin City – Dublin City Alternative School,172,177,165,88
Gainesville City,New Holland Core Knowledge Academy,Gainesville City – New Holland Core Knowledge Academy,74,60,90,125
Gainesville City,Gainesville Middle School,Gainesville City – Gainesville Middle School,150,137,694,852
Gainesville City,Centennial Arts Academy,Gainesville City – Centennial Arts Academy,23,54,77,91
Gainesville City,Gainesville Exploration Academy,Gainesville City – Gainesville Exploration Academy,32,54,70,87
Gainesville City,Wood's Mill Academy,Gainesville City – Wood's Mill Academy,103,115,18,
Gainesville City,Enota Multiple Intelligences Academy,Gainesville City – Enota Multiple Intelligences Academy,37,58,50,71
Gainesville City,Fair Street International Baccalaureate World School,Gainesville City – Fair Street International Baccalaureate World School,78,21,205,55
Gainesville City,Gainesville High School,Gainesville City – Gainesville High School,305,143,1092,1145
Jefferson City,Jefferson Middle School,Jefferson City – Jefferson Middle School,113,111,52,125
Jefferson City,Jefferson Academy,Jefferson City – Jefferson Academy,21,,199,185
Jefferson City,Jefferson High School,Jefferson City – Jefferson High School,476,262,222,254
Marietta City,Marietta High School,Marietta City – Marietta High School,1406,974,1161,1036
Marietta City,Sawyer Road Elementary,Marietta City – Sawyer Road Elementary,48,48,91,73
Marietta City,Dunleith Elementary School,Marietta City – Dunleith Elementary School,74,140,222,170
Marietta City,Marietta Middle School,Marietta City – Marietta Middle School,850,466,806,1066
Marietta City,Lockheed Elementary School,Marietta City – Lockheed Elementary School,206,189,83,78
Marietta City,Marietta 6th Grade School,Marietta City – Marietta 6th Grade School,603,487,353,303
Marietta City,Park Street Elementary School,Marietta City – Park Street Elementary School,71,69,97,43
Marietta City,Hickory Hills Elementary School,Marietta City – Hickory Hills Elementary School,28,30,22,
State Charter Schools- Mountain Education Center School,Mountain Education Center School,State Charter Schools- Mountain Education Center School – Mountain Education Center School,64,41,39,51
State Charter Schools- Odyssey School,Odyssey School,State Charter Schools- Odyssey School – Odyssey School,33,24,18,35
State Charter Schools- Cherokee Charter Academy,Cherokee Charter Academy,State Charter Schools- Cherokee Charter Academy – Cherokee Charter Academy,213,164,289,369
State Charter Schools- Heritage Preparatory Academy School,Heritage Preparatory Academy School,State Charter Schools- Heritage Preparatory Academy School – Heritage Preparatory Academy School,18,,,
Commission Charter Schools- Pataula Charter Academy,Pataula Charter Academy,Commission Charter Schools- Pataula Charter Academy – Pataula Charter Academy,148,145,141,271
Commission Charter Schools- Fulton Leadership Academy,Fulton Leadership Academy,Commission Charter Schools- Fulton Leadership Academy – Fulton Leadership Academy,218,115,10,20
Commission Charter Schools- Atlanta Heights Charter School,Atlanta Heights Charter School,Commission Charter Schools- Atlanta Heights Charter School – Atlanta Heights Charter School,115,124,128,29
Commission Charter Schools- Coweta Charter Academy,Coweta Charter Academy,Commission Charter Schools- Coweta Charter Academy – Coweta Charter Academy,15,167,20,33
Pelham City,Pelham High School,Pelham City – Pelham High School,443,260,149,158
Pelham City,Pelham City Middle School,Pelham City – Pelham City Middle School,678,650,498,127
Pelham City,Pelham Elementary School,Pelham City – Pelham Elementary School,375,166,81,29
Rome City,West Central Elementary School,Rome City – West Central Elementary School,155,133,56,117
Rome City,Rome High School,Rome City – Rome High School,556,567,560,804
Rome City,Rome Middle School,Rome City – Rome Middle School,794,636,778,1055
Rome City,Southeast Elementary School,Rome City – Southeast Elementary School,208,191,,
Rome City,West End Elementary School,Rome City – West End Elementary School,11,43,66,20
Rome City,North Heights Elementary School,Rome City – North Heights Elementary School,62,78,,51
Social Circle City,Social Circle Primary School,Social Circle City – Social Circle Primary School,37,35,29,24
Social Circle City,Social Circle Middle School,Social Circle City – Social Circle Middle School,266,269,267,159
Social Circle City,Social Circle Elementary School,Social Circle City – Social Circle Elementary School,200,140,74,45
Social Circle City,Social Circle High School,Social Circle City – Social Circle High School,443,281,126,134
Thomasville City,MacIntyre Park Middle School,Thomasville City – MacIntyre Park Middle School,405,993,769,1037
Thomasville City,Scott Elementary School,Thomasville City – Scott Elementary School,149,181,102,121
Thomasville City,Harper Elementary School,Thomasville City – Harper Elementary School,41,70,43,
Thomasville City,Thomasville High School,Thomasville City – Thomasville High School,868,348,1045,1163
Trion City,Trion Middle School,Trion City – Trion Middle School,31,58,21,45
Trion City,Trion High School,Trion City – Trion High School,116,112,129,87
Valdosta City,Sallas Mahone Elementary,Valdosta City – Sallas Mahone Elementary,237,250,254,270
Valdosta City,Valdosta Middle School,Valdosta City – Valdosta Middle School,915,939,724,549
Valdosta City,J. L. Lomax Elementary School,Valdosta City – J. L. Lomax Elementary School,477,410,337,308
Valdosta City,Newbern Middle School,Valdosta City – Newbern Middle School,1941,912,880,1061
Valdosta City,Valdosta High School,Valdosta City – Valdosta High School,3016,2531,1611,1422
Valdosta City,S.L. Mason Elementary School,Valdosta City – S.L. Mason Elementary School,196,424,446,564
Valdosta City,Nunn Elementary School,Valdosta City – Nunn Elementary School,928,549,647,492
Valdosta City,Southeast Elementary School,Valdosta City – Southeast Elementary School,182,,,
Vidalia City,J. R. Trippe Middle School,Vidalia City – J. R. Trippe Middle School,687,577,503,351
Vidalia City,Vidalia Comprehensive High School,Vidalia City – Vidalia Comprehensive High School,872,853,390,363
Vidalia City,J. D. Dickerson Primary School,Vidalia City – J. D. Dickerson Primary School,210,235,152,180
Vidalia City,Sally Dailey Meadows Elementary School,Vidalia City – Sally Dailey Meadows Elementary School,222,286,438,437
State Schools- Atlanta Area School for the Deaf,Atlanta Area School for the Deaf,State Schools- Atlanta Area School for the Deaf – Atlanta Area School for the Deaf,19,53,61,55
State Schools- Georgia School for the Deaf,Georgia School for the Deaf,State Schools- Georgia School for the Deaf – Georgia School for the Deaf,81,55,53,39
Bibb County,Academy For Classical Education,Bibb County – Academy For Classical Education,,49,29,26
Bibb County,Ingram/Pye Elementary School,Bibb County – Ingram/Pye Elementary School,,216,188,112
Bleckley County,Bleckley County Success Academy,Bleckley County – Bleckley County Success Academy,,107,57,67
Calhoun County,Calhoun County Elementary School,Calhoun County – Calhoun County Elementary School,,92,193,66
Camden County,Sugarmill Elementary,Camden County – Sugarmill Elementary,,18,37,37
Catoosa County,Ringgold Elementary School,Catoosa County – Ringgold Elementary School,,12,,
Chatham County,Savannah Classical Academy Charter School,Chatham County – Savannah Classical Academy Charter School,,43,34,19
Clarke County,Whitehead Road Elementary School,Clarke County – Whitehead Road Elementary School,,20,25,15
Clay County,Clay County 9th Grade Academy School,Clay County – Clay County 9th Grade Academy School,,23,31,
Clayton County,Kendrick Middle School,Clayton County – Kendrick Middle School,,54,,31
Clayton County,Kemp Primary,Clayton County – Kemp Primary,,26,,190
Clayton County,Unidos Dual Language Charter School,Clayton County – Unidos Dual Language Charter School,,31,18,100
Clayton County,Tara Elementary School,Clayton County – Tara Elementary School,,45,66,71
Clayton County,Riverdale Elementary School,Clayton County – Riverdale Elementary School,,20,56,82
Clayton County,Haynie Elementary School,Clayton County – Haynie Elementary School,,56,39,19
Clayton County,Suder Elementary School,Clayton County – Suder Elementary School,,24,35,58
Clayton County,William M. McGarrah Elementary School,Clayton County – William M. McGarrah Elementary School,,28,20,60
Cobb County,Kincaid Elementary School,Cobb County – Kincaid Elementary School,,58,21,18
Cobb County,Addison Elementary School,Cobb County – Addison Elementary School,,115,18,28
Cobb County,Shallowford Falls Elementary School,Cobb County – Shallowford Falls Elementary School,,47,,36
Cobb County,Frey Elementary School,Cobb County – Frey Elementary School,,51,71,56
Cobb County,Timber Ridge Elementary School,Cobb County – Timber Ridge Elementary School,,14,,
Columbia County,Lewiston Elementary School,Columbia County – Lewiston Elementary School,,11,,
Columbia County,Riverside Elementary School,Columbia County – Riverside Elementary School,,15,14,
Coweta County,Willis Road Elementary,Coweta County – Willis Road Elementary,,20,,
Crisp County,Crisp County Primary School,Crisp County – Crisp County Primary School,,396,620,249
Dade County,Davis Elementary School,Dade County – Davis Elementary School,,24,,
Dawson County,New Dawson County Middle School,Dawson County – New Dawson County Middle School,,10,22,31
Decatur County,New Beginning Learning Center,Decatur County – New Beginning Learning Center,,166,91,33
DeKalb County,DeKalb Preparatory Academy Charter,DeKalb County – DeKalb Preparatory Academy Charter,,104,23,20
DeKalb County,Marbut Elementary School,DeKalb County – Marbut Elementary School,,28,23,22
DeKalb County,Cedar Grove Elementary School,DeKalb County – Cedar Grove Elementary School,,19,30,19
DeKalb County,Wadsworth Magnet School for High Achievers,DeKalb County – Wadsworth Magnet School for High Achievers,,13,25,
DeKalb County,Leadership Preparatory Academy,DeKalb County – Leadership Preparatory Academy,,20,41,104
DeKalb County,Tapestry Public Charter School,DeKalb County – Tapestry Public Charter School,,86,24,19
DeKalb County,Dekalb Early College Academy,DeKalb County – Dekalb Early College Academy,,34,20,
DeKalb County,DeKalb PATH Academy Charter School,DeKalb County – DeKalb PATH Academy Charter School,,27,35,79
DeKalb County,DeKalb Academy of Technology and the Environment Charter School,DeKalb County – DeKalb Academy of Technology and the Environment Charter School,,123,17,
DeKalb County,Henderson Mill Elementary School,DeKalb County – Henderson Mill Elementary School,,15,,39
DeKalb County,Jolly Elementary School,DeKalb County – Jolly Elementary School,,106,27,42
DeKalb County,Midway Elementary School,DeKalb County – Midway Elementary School,,12,,
DeKalb County,Huntley Hills Elementary School,DeKalb County – Huntley Hills Elementary School,,38,,
DeKalb County,Kingsley Elementary School,DeKalb County – Kingsley Elementary School,,14,,
Dougherty County,Lincoln Elementary Magnet School,Dougherty County – Lincoln Elementary Magnet School,,16,,23
Fannin County,Blue Ridge Elementary School,Fannin County – Blue Ridge Elementary School,,22,18,
Floyd County,Armuchee Elementary School,Floyd County – Armuchee Elementary School,,15,,
Floyd County,Glenwood Primary School,Floyd County – Glenwood Primary School,,12,,26
Forsyth County,Cumming Elementary School,Forsyth County – Cumming Elementary School,,41,51,37
Forsyth County,Mashburn Elementary School,Forsyth County – Mashburn Elementary School,,46,62,
Fulton County,Hembree Springs Elementary School,Fulton County – Hembree Springs Elementary School,,61,24,80
Fulton County,Fulton Sunshine Charter Elementary,Fulton County – Fulton Sunshine Charter Elementary,,18,,
Fulton County,Main Street Charter Academy Elementary,Fulton County – Main Street Charter Academy Elementary,,52,,
Fulton County,Birmingham Falls Elementary School,Fulton County – Birmingham Falls Elementary School,,23,15,17
Gwinnett County,Head Elementary School,Gwinnett County – Head Elementary School,,23,39,26
Gwinnett County,Walnut Grove Elementary School,Gwinnett County – Walnut Grove Elementary School,,30,27,22
Gwinnett County,Freeman's Mill Elementary School,Gwinnett County – Freeman's Mill Elementary School,,28,39,37
Gwinnett County,Puckett's Mill Elementary School,Gwinnett County – Puckett's Mill Elementary School,,28,40,28
Gwinnett County,Northbrook Middle School,Gwinnett County – Northbrook Middle School,,454,385,309
Gwinnett County,North Metro Academy of Performing Arts,Gwinnett County – North Metro Academy of Performing Arts,,14,22,59
Gwinnett County,Level Creek Elementary School,Gwinnett County – Level Creek Elementary School,,29,18,20
Gwinnett County,Grayson Elementary School,Gwinnett County – Grayson Elementary School,,15,37,
Gwinnett County,Suwanee Elementary School,Gwinnett County – Suwanee Elementary School,,29,,46
Hall County,Lanier Elementary School,Hall County – Lanier Elementary School,,17,22,38
Henry County,Hampton High School,Henry County – Hampton High School,,429,350,411
Houston County,Houston County Crossroads Center,Houston County – Houston County Crossroads Center,,1295,1144,877
Houston County,Langston Road Elementary School,Houston County – Langston Road Elementary School,,144,149,140
Houston County,Houston County Career Academy,Houston County – Houston County Career Academy,,16,,
Jenkins County,Jenkins County Elementary School,Jenkins County – Jenkins County Elementary School,,240,,309
Lowndes County,Westside Elementary School,Lowndes County – Westside Elementary School,,29,37,38
Muscogee County,Dorothy Height Elementary School,Muscogee County – Dorothy Height Elementary School,,350,610,541
Muscogee County,Britt David Elementary Computer Magnet Academy,Muscogee County – Britt David Elementary Computer Magnet Academy,,16,28,24
Muscogee County,Mathews Elementary School,Muscogee County – Mathews Elementary School,,19,32,36
Oconee County,Oconee County Elementary School,Oconee County – Oconee County Elementary School,,13,,22
Pickens County,Hill City Elementary School,Pickens County – Hill City Elementary School,,25,20,
Pickens County,Tate Elementary School,Pickens County – Tate Elementary School,,26,31,58
Pickens County,Jasper Middle School,Pickens County – Jasper Middle School,,246,213,177
Richmond County,Blythe Elementary School,Richmond County – Blythe Elementary School,,31,59,239
Richmond County,Hains Elementary School,Richmond County – Hains Elementary School,,103,145,312
Stewart County,Stewart County High School,Stewart County – Stewart County High School,,59,28,81
Thomas County,The Renaissance Center for Academic and Career Development,Thomas County – The Renaissance Center for Academic and Career Development,,87,51,174
Walton County,Sharon Elementary School,Walton County – Sharon Elementary School,,25,24,
White County,Mount Yonah Elementary School,White County – Mount Yonah Elementary School,,19,,
Atlanta Public Schools,KIPP Strive Primary,Atlanta Public Schools – KIPP Strive Primary,,43,70,27
Atlanta Public Schools,KIPP Vision Primary,Atlanta Public Schools – KIPP Vision Primary,,66,53,27
Atlanta Public Schools,Kipp WAYS Primary School,Atlanta Public Schools – Kipp WAYS Primary School,,35,51,42
Atlanta Public Schools,Bolton Academy,Atlanta Public Schools – Bolton Academy,,13,,
Atlanta Public Schools,Booker T. Washington High School,Atlanta Public Schools – Booker T. Washington High School,,611,552,334
Atlanta Public Schools,Charles Drew Charter School JA/SA,Atlanta Public Schools – Charles Drew Charter School JA/SA,,134,189,111
Atlanta Public Schools,Imagine Wesley International Academy Charter Facility,Atlanta Public Schools – Imagine Wesley International Academy Charter Facility,,58,52,58
Atlanta Public Schools,Gideons Elementary School,Atlanta Public Schools – Gideons Elementary School,,36,17,47
Atlanta Public Schools,Continental Colony Elementary School,Atlanta Public Schools – Continental Colony Elementary School,,28,77,63
Marietta City,Marietta Center for Advanced Academics,Marietta City – Marietta Center for Advanced Academics,,22,,
Marietta City,Burruss Elementary School,Marietta City – Burruss Elementary School,,13,18,
State Charter Schools- Ivy Preparatory Young Men's Leadership Academy School,Ivy Preparatory Young Men's Leadership Academy School,State Charter Schools- Ivy Preparatory Young Men's Leadership Academy School – Ivy Preparatory Young Men's Leadership Academy School,,18,32,
Rome City,East Central Elementary School,Rome City – East Central Elementary School,,33,29,111
Rome City,Main Elementary School,Rome City – Main Elementary School,,127,74,81
Valdosta City,Pinevale Elementary School,Valdosta City – Pinevale Elementary School,,423,555,549
State Schools- Georgia Academy for the Blind,Georgia Academy for the Blind,State Schools- Georgia Academy for the Blind – Georgia Academy for the Blind,,28,30,16
Appling County,Fourth District Elementary School,Appling County – Fourth District Elementary School,,,16,
Bibb County,Martin Luther King Jr Elementary School,Bibb County – Martin Luther King Jr Elementary School,,,612,887
Bibb County,Southfield Elementary School,Bibb County – Southfield Elementary School,,,456,388
Bibb County,Macon Charter Academy,Bibb County – Macon Charter Academy,,,291,
Bryan County,McAllister Elementary School,Bryan County – McAllister Elementary School,,,13,56
Chatham County,Rice Creek School,Chatham County – Rice Creek School,,,156,137
Chatham County,Howard Elementary School,Chatham County – Howard Elementary School,,,26,
Chatham County,Bloomingdale Elementary School,Chatham County – Bloomingdale Elementary School,,,29,36
Chatham County,Ellis Elementary School,Chatham County – Ellis Elementary School,,,17,24
Cherokee County,Clayton Elementary School,Cherokee County – Clayton Elementary School,,,36,44
Clayton County,River's Edge Elementary School,Clayton County – River's Edge Elementary School,,,42,18
Clayton County,Martha Ellen Stilwell School for the Performing Arts,Clayton County – Martha Ellen Stilwell School for the Performing Arts,,,30,27
Cobb County,Kennesaw Charter School,Cobb County – Kennesaw Charter School,,,11,93
Dawson County,Riverview Middle School,Dawson County – Riverview Middle School,,,10,52
Dawson County,Black's Mill Elementary School,Dawson County – Black's Mill Elementary School,,,47,54
DeKalb County,Destiny Achievers Academy of Excellence,DeKalb County – Destiny Achievers Academy of Excellence,,,114,106
DeKalb County,Robert Shaw Theme School,DeKalb County – Robert Shaw Theme School,,,14,
DeKalb County,DeKalb School of the Arts,DeKalb County – DeKalb School of the Arts,,,43,37
DeKalb County,International Community School,DeKalb County – International Community School,,,73,28
DeKalb County,Evansdale Elementary School,DeKalb County – Evansdale Elementary School,,,30,
DeKalb County,Peachcrest Elementary School,DeKalb County – Peachcrest Elementary School,,,155,111
DeKalb County,Ashford Park Elementary School,DeKalb County – Ashford Park Elementary School,,,27,22
DeKalb County,Briarlake Elementary School,DeKalb County – Briarlake Elementary School,,,50,19
DeKalb County,Laurel Ridge Elementary School,DeKalb County – Laurel Ridge Elementary School,,,30,35
DeKalb County,Oakcliff Elementary School,DeKalb County – Oakcliff Elementary School,,,16,25
Dougherty County,Jackson Heights Elementary School,Dougherty County – Jackson Heights Elementary School,,,135,125
Fayette County,Peeples Elementary School,Fayette County – Peeples Elementary School,,,21,29
Floyd County,Johnson Elementary,Floyd County – Johnson Elementary,,,34,66
Fulton County,Crabapple Crossing Elementary School,Fulton County – Crabapple Crossing Elementary School,,,19,
Fulton County,Chattahoochee Hills Charter School,Fulton County – Chattahoochee Hills Charter School,,,23,29
Fulton County,Alpharetta Elementary School,Fulton County – Alpharetta Elementary School,,,49,72
Fulton County,College Park Elementary,Fulton County – College Park Elementary,,,481,663
Gilmer County,Mountain View Elementary,Gilmer County – Mountain View Elementary,,,17,17
Gwinnett County,Baggett Elementary School,Gwinnett County – Baggett Elementary School,,,155,163
Gwinnett County,Graves Elementary School,Gwinnett County – Graves Elementary School,,,46,47
Gwinnett County,Jordan Middle School,Gwinnett County – Jordan Middle School,,,724,565
Gwinnett County,Discovery High School,Gwinnett County – Discovery High School,,,1773,2588
Habersham County,Fairview Elementary School,Habersham County – Fairview Elementary School,,,17,
Hall County,Myers Elementary School,Hall County – Myers Elementary School,,,17,
Hancock County,Lewis Elementary School,Hancock County – Lewis Elementary School,,,17,57
Harris County,Pine Ridge Elementary School,Harris County – Pine Ridge Elementary School,,,27,
Henry County,EXCEL Academy,Henry County – EXCEL Academy,,,597,818
Lowndes County,Hahira Elementary School,Lowndes County – Hahira Elementary School,,,23,22
Madison County,Comer Elementary School,Madison County – Comer Elementary School,,,24,
Paulding County,New Georgia Elementary School,Paulding County – New Georgia Elementary School,,,19,23
Pickens County,Harmony Elementary School,Pickens County – Harmony Elementary School,,,11,22
Polk County,Cherokee Elementary School,Polk County – Cherokee Elementary School,,,13,18
Richmond County,Alternative Education Center at Lamar,Richmond County – Alternative Education Center at Lamar,,,839,1459
Richmond County,Performance Learning Center,Richmond County – Performance Learning Center,,,41,49
Stephens County,Toccoa Elementary School,Stephens County – Toccoa Elementary School,,,49,229
Stephens County,Stephens County Fifth Grade Academy,Stephens County – Stephens County Fifth Grade Academy,,,38,111
Sumter County,Furlow Charter School,Sumter County – Furlow Charter School,,,140,97
Union County,Union County Primary School,Union County – Union County Primary School,,,21,20
Whitfield County,Cedar Ridge Elementary,Whitfield County – Cedar Ridge Elementary,,,15,12
Atlanta Public Schools,Kindezi,Atlanta Public Schools – Kindezi,,,53,231
Atlanta Public Schools,Burgess-Peterson Elementary School,Atlanta Public Schools – Burgess-Peterson Elementary School,,,13,
Atlanta Public Schools,Therrell High School,Atlanta Public Schools – Therrell High School,,,460,637
Atlanta Public Schools,Corretta Scott King Womens' Leadership Academy,Atlanta Public Schools – Corretta Scott King Womens' Leadership Academy,,,311,245
Atlanta Public Schools,The B.E.S.T Academy,Atlanta Public Schools – The B.E.S.T Academy,,,1693,383
Atlanta Public Schools,Humphries Elementary School,Atlanta Public Schools – Humphries Elementary School,,,20,
Calhoun City,Calhoun Primary School,Calhoun City – Calhoun Primary School,,,26,
Jefferson City,Jefferson Elementary School,Jefferson City – Jefferson Elementary School,,,15,
Marietta City,West Side Elementary School,Marietta City – West Side Elementary School,,,25,29
State Charter Schools- Utopian Academy for the Arts Charter School,Utopian Academy for the Arts Charter School,State Charter Schools- Utopian Academy for the Arts Charter School – Utopian Academy for the Arts Charter School,,,94,86
State Charter Schools- Ivy Prep Academy at Kirkwood for Girls School,Ivy Prep Academy at Kirkwood for Girls School,State Charter Schools- Ivy Prep Academy at Kirkwood for Girls School – Ivy Prep Academy at Kirkwood for Girls School,,,12,
State Charter Schools- Foothills Charter High School (Madison Campus),Foothills Charter High School (Madison Campus),State Charter Schools- Foothills Charter High School (Madison Campus) – Foothills Charter High School (Madison Campus),,,31,37
State Charter Schools- Scintilla Charter Academy,Scintilla Charter Academy,State Charter Schools- Scintilla Charter Academy – Scintilla Charter Academy,,,70,31
State Charter Schools- Georgia School for Innovation and the Classics,Georgia School for Innovation and the Classics,State Charter Schools- Georgia School for Innovation and the Classics – Georgia School for Innovation and the Classics,,,34,39
State Charter Schools- Dubois Integrity Academy I,Dubois Integrity Academy I,State Charter Schools- Dubois Integrity Academy I – Dubois Integrity Academy I,,,139,165
Rome City,Elm Street Elementary,Rome City – Elm Street Elementary,,,27,48
Rome City,Anna K. Davie Elementary,Rome City – Anna K. Davie Elementary,,,127,40
Bibb County,Veterans Elementary School,Bibb County – Veterans Elementary School,,,,447
Cherokee County,Free Home Elementary School,Cherokee County – Free Home Elementary School,,,,30
DeKalb County,The GLOBE Academy Charter School,DeKalb County – The GLOBE Academy Charter School,,,,19
DeKalb County,Columbia Elementary School,DeKalb County – Columbia Elementary School,,,,23
DeKalb County,John Robert Lewis Elementary School,DeKalb County – John Robert Lewis Elementary School,,,,18
DeKalb County,Barack H. Obama Elementary Magnet School of Technology,DeKalb County – Barack H. Obama Elementary Magnet School of Technology,,,,198
DeKalb County,Sagamore Hills Elementary School,DeKalb County – Sagamore Hills Elementary School,,,,20
Douglas County,Brighten Academy,Douglas County – Brighten Academy,,,,51
Forsyth County,Shiloh Point Elementary,Forsyth County – Shiloh Point Elementary,,,,16
Forsyth County,Coal Mountain Elementary School,Forsyth County – Coal Mountain Elementary School,,,,49
Forsyth County,Brookwood Elementary,Forsyth County – Brookwood Elementary,,,,28
Forsyth County,Kelly Mill Elementary,Forsyth County – Kelly Mill Elementary,,,,48
Forsyth County,Denmark High School,Forsyth County – Denmark High School,,,,24
Forsyth County,DeSana Middle School,Forsyth County – DeSana Middle School,,,,85
Fulton County,Sweet Apple Elementary School,Fulton County – Sweet Apple Elementary School,,,,35
Fulton County,Wilson Creek Elementary School,Fulton County – Wilson Creek Elementary School,,,,18
Fulton County,Latin Grammar School,Fulton County – Latin Grammar School,,,,67
Fulton County,Latin College Prep,Fulton County – Latin College Prep,,,,41
Fulton County,Vickery Mill Elementary,Fulton County – Vickery Mill Elementary,,,,197
