SCHOOL_DISTRICT,SCHOOL_NAME,ENROLLMENT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_STATEMENT
Richmond County,Gracewood Elementary School,585,Gracewood Elementary School's enrollment is in the 26th percentile of all Georgia schools.,43,7.4,Gracewood Elementary School's percentage of students with discipline incidents is in the 36th percentile of all Georgia schools.,89,Gracewood Elementary School's total number of discipline incidents is in the 34th percentile of all Georgia schools.,0.152,Gracewood Elementary School's incidents per student rate is in the 39th percentile of all Georgia schools.
Richmond County,Monte Sano Elementary School,425,Monte Sano Elementary School's enrollment is in the 9th percentile of all Georgia schools.,48,11.3,Monte Sano Elementary School's percentage of students with discipline incidents is in the 50th percentile of all Georgia schools.,100,Monte Sano Elementary School's total number of discipline incidents is in the 37th percentile of all Georgia schools.,0.235,Monte Sano Elementary School's incidents per student rate is in the 51st percentile of all Georgia schools.
Richmond County,Academy of Richmond County High School,1500,Academy of Richmond County High School's enrollment is in the 90th percentile of all Georgia schools.,567,37.8,Academy of Richmond County High School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,1603,Academy of Richmond County High School's total number of discipline incidents is in the 99th percentile of all Georgia schools.,1.069,Academy of Richmond County High School's incidents per student rate is in the 95th percentile of all Georgia schools.
Richmond County,Southside Elementary School,507,Southside Elementary School's enrollment is in the 17th percentile of all Georgia schools.,107,21.1,Southside Elementary School's percentage of students with discipline incidents is in the 75th percentile of all Georgia schools.,345,Southside Elementary School's total number of discipline incidents is in the 70th percentile of all Georgia schools.,0.68,Southside Elementary School's incidents per student rate is in the 86th percentile of all Georgia schools.
Richmond County,Wheeless Road Elementary School,613,Wheeless Road Elementary School's enrollment is in the 28th percentile of all Georgia schools.,141,23,Wheeless Road Elementary School's percentage of students with discipline incidents is in the 79th percentile of all Georgia schools.,385,Wheeless Road Elementary School's total number of discipline incidents is in the 73rd percentile of all Georgia schools.,0.628,Wheeless Road Elementary School's incidents per student rate is in the 84th percentile of all Georgia schools.
Richmond County,Terrace Manor Elementary School,440,Terrace Manor Elementary School's enrollment is in the 11th percentile of all Georgia schools.,104,23.6,Terrace Manor Elementary School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,319,Terrace Manor Elementary School's total number of discipline incidents is in the 68th percentile of all Georgia schools.,0.725,Terrace Manor Elementary School's incidents per student rate is in the 88th percentile of all Georgia schools.
Richmond County,Hains Elementary School,752,Hains Elementary School's enrollment is in the 46th percentile of all Georgia schools.,150,19.9,Hains Elementary School's percentage of students with discipline incidents is in the 73rd percentile of all Georgia schools.,312,Hains Elementary School's total number of discipline incidents is in the 68th percentile of all Georgia schools.,0.415,Hains Elementary School's incidents per student rate is in the 70th percentile of all Georgia schools.
Richmond County,Murphey Middle Charter School,758,Murphey Middle Charter School's enrollment is in the 47th percentile of all Georgia schools.,441,58.2,Murphey Middle Charter School's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,1668,Murphey Middle Charter School's total number of discipline incidents is in the 99th percentile of all Georgia schools.,2.201,Murphey Middle Charter School's incidents per student rate is in the 100th percentile of all Georgia schools.
Richmond County,Tutt Middle School,545,Tutt Middle School's enrollment is in the 21st percentile of all Georgia schools.,230,42.2,Tutt Middle School's percentage of students with discipline incidents is in the 98th percentile of all Georgia schools.,826,Tutt Middle School's total number of discipline incidents is in the 90th percentile of all Georgia schools.,1.516,Tutt Middle School's incidents per student rate is in the 99th percentile of all Georgia schools.
Richmond County,Laney High School,658,Laney High School's enrollment is in the 35th percentile of all Georgia schools.,301,45.7,Laney High School's percentage of students with discipline incidents is in the 99th percentile of all Georgia schools.,904,Laney High School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,1.374,Laney High School's incidents per student rate is in the 98th percentile of all Georgia schools.
Rockdale County,Peek's Chapel Elementary,790,Peek's Chapel Elementary's enrollment is in the 52nd percentile of all Georgia schools.,116,14.7,Peek's Chapel Elementary's percentage of students with discipline incidents is in the 59th percentile of all Georgia schools.,227,Peek's Chapel Elementary's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.287,Peek's Chapel Elementary's incidents per student rate is in the 56th percentile of all Georgia schools.
Rockdale County,General Ray Davis Middle School,1203,General Ray Davis Middle School's enrollment is in the 82nd percentile of all Georgia schools.,198,16.5,General Ray Davis Middle School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,408,General Ray Davis Middle School's total number of discipline incidents is in the 74th percentile of all Georgia schools.,0.339,General Ray Davis Middle School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Rockdale County,Hicks Elementary School,1199,Hicks Elementary School's enrollment is in the 82nd percentile of all Georgia schools.,40,3.3,Hicks Elementary School's percentage of students with discipline incidents is in the 15th percentile of all Georgia schools.,57,Hicks Elementary School's total number of discipline incidents is in the 24th percentile of all Georgia schools.,0.048,Hicks Elementary School's incidents per student rate is in the 11th percentile of all Georgia schools.
Rockdale County,Honey Creek Elementary School,689,Honey Creek Elementary School's enrollment is in the 38th percentile of all Georgia schools.,31,4.5,Honey Creek Elementary School's percentage of students with discipline incidents is in the 23rd percentile of all Georgia schools.,51,Honey Creek Elementary School's total number of discipline incidents is in the 21st percentile of all Georgia schools.,0.074,Honey Creek Elementary School's incidents per student rate is in the 21st percentile of all Georgia schools.
Rockdale County,Heritage High School,1975,Heritage High School's enrollment is in the 96th percentile of all Georgia schools.,259,13.1,Heritage High School's percentage of students with discipline incidents is in the 55th percentile of all Georgia schools.,452,Heritage High School's total number of discipline incidents is in the 77th percentile of all Georgia schools.,0.229,Heritage High School's incidents per student rate is in the 50th percentile of all Georgia schools.
Rockdale County,Barksdale Elementary School,625,Barksdale Elementary School's enrollment is in the 31st percentile of all Georgia schools.,20,3.2,Barksdale Elementary School's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,33,Barksdale Elementary School's total number of discipline incidents is in the 12th percentile of all Georgia schools.,0.053,Barksdale Elementary School's incidents per student rate is in the 14th percentile of all Georgia schools.
Rockdale County,Salem High School,1390,Salem High School's enrollment is in the 88th percentile of all Georgia schools.,185,13.3,Salem High School's percentage of students with discipline incidents is in the 56th percentile of all Georgia schools.,291,Salem High School's total number of discipline incidents is in the 66th percentile of all Georgia schools.,0.209,Salem High School's incidents per student rate is in the 48th percentile of all Georgia schools.
Rockdale County,Shoal Creek Elementary School,885,Shoal Creek Elementary School's enrollment is in the 63rd percentile of all Georgia schools.,33,3.7,Shoal Creek Elementary School's percentage of students with discipline incidents is in the 18th percentile of all Georgia schools.,55,Shoal Creek Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.062,Shoal Creek Elementary School's incidents per student rate is in the 16th percentile of all Georgia schools.
Rockdale County,Lorraine Elementary School,843,Lorraine Elementary School's enrollment is in the 59th percentile of all Georgia schools.,30,3.6,Lorraine Elementary School's percentage of students with discipline incidents is in the 17th percentile of all Georgia schools.,44,Lorraine Elementary School's total number of discipline incidents is in the 18th percentile of all Georgia schools.,0.052,Lorraine Elementary School's incidents per student rate is in the 13rd percentile of all Georgia schools.
Rockdale County,Conyers Middle School,1082,Conyers Middle School's enrollment is in the 77th percentile of all Georgia schools.,358,33.1,Conyers Middle School's percentage of students with discipline incidents is in the 93rd percentile of all Georgia schools.,1028,Conyers Middle School's total number of discipline incidents is in the 94th percentile of all Georgia schools.,0.95,Conyers Middle School's incidents per student rate is in the 94th percentile of all Georgia schools.
Rockdale County,Memorial Middle School,978,Memorial Middle School's enrollment is in the 70th percentile of all Georgia schools.,242,24.7,Memorial Middle School's percentage of students with discipline incidents is in the 82nd percentile of all Georgia schools.,460,Memorial Middle School's total number of discipline incidents is in the 78th percentile of all Georgia schools.,0.47,Memorial Middle School's incidents per student rate is in the 74th percentile of all Georgia schools.
Rockdale County,Edwards Middle School,974,Edwards Middle School's enrollment is in the 70th percentile of all Georgia schools.,163,16.7,Edwards Middle School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,304,Edwards Middle School's total number of discipline incidents is in the 67th percentile of all Georgia schools.,0.312,Edwards Middle School's incidents per student rate is in the 60th percentile of all Georgia schools.
Rockdale County,Flat Shoals Elementary School,903,Flat Shoals Elementary School's enrollment is in the 65th percentile of all Georgia schools.,19,2.1,Flat Shoals Elementary School's percentage of students with discipline incidents is in the 5th percentile of all Georgia schools.,22,Flat Shoals Elementary School's total number of discipline incidents is in the 5th percentile of all Georgia schools.,0.024,Flat Shoals Elementary School's incidents per student rate is in the 3rd percentile of all Georgia schools.
Rockdale County,Pine Street Elementary School,778,Pine Street Elementary School's enrollment is in the 50th percentile of all Georgia schools.,76,9.8,Pine Street Elementary School's percentage of students with discipline incidents is in the 45th percentile of all Georgia schools.,180,Pine Street Elementary School's total number of discipline incidents is in the 53rd percentile of all Georgia schools.,0.231,Pine Street Elementary School's incidents per student rate is in the 51st percentile of all Georgia schools.
Rockdale County,Rockdale County High School,2375,Rockdale County High School's enrollment is in the 98th percentile of all Georgia schools.,447,18.8,Rockdale County High School's percentage of students with discipline incidents is in the 70th percentile of all Georgia schools.,995,Rockdale County High School's total number of discipline incidents is in the 94th percentile of all Georgia schools.,0.419,Rockdale County High School's incidents per student rate is in the 70th percentile of all Georgia schools.
Rockdale County,House Elementary School,794,House Elementary School's enrollment is in the 52nd percentile of all Georgia schools.,21,2.6,House Elementary School's percentage of students with discipline incidents is in the 9th percentile of all Georgia schools.,47,House Elementary School's total number of discipline incidents is in the 19th percentile of all Georgia schools.,0.059,House Elementary School's incidents per student rate is in the 15th percentile of all Georgia schools.
Schley County,Schley Middle High School,726,Schley Middle High School's enrollment is in the 43rd percentile of all Georgia schools.,128,17.6,Schley Middle High School's percentage of students with discipline incidents is in the 68th percentile of all Georgia schools.,273,Schley Middle High School's total number of discipline incidents is in the 65th percentile of all Georgia schools.,0.376,Schley Middle High School's incidents per student rate is in the 66th percentile of all Georgia schools.
Schley County,Schley County Elementary School,653,Schley County Elementary School's enrollment is in the 34th percentile of all Georgia schools.,87,13.3,Schley County Elementary School's percentage of students with discipline incidents is in the 56th percentile of all Georgia schools.,181,Schley County Elementary School's total number of discipline incidents is in the 53rd percentile of all Georgia schools.,0.277,Schley County Elementary School's incidents per student rate is in the 56th percentile of all Georgia schools.
Screven County,Screven County Elementary School,1343,Screven County Elementary School's enrollment is in the 87th percentile of all Georgia schools.,265,19.7,Screven County Elementary School's percentage of students with discipline incidents is in the 72nd percentile of all Georgia schools.,877,Screven County Elementary School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,0.653,Screven County Elementary School's incidents per student rate is in the 85th percentile of all Georgia schools.
Screven County,Screven County Middle School,523,Screven County Middle School's enrollment is in the 19th percentile of all Georgia schools.,162,31,Screven County Middle School's percentage of students with discipline incidents is in the 91st percentile of all Georgia schools.,741,Screven County Middle School's total number of discipline incidents is in the 88th percentile of all Georgia schools.,1.417,Screven County Middle School's incidents per student rate is in the 98th percentile of all Georgia schools.
Screven County,Screven County High School,691,Screven County High School's enrollment is in the 39th percentile of all Georgia schools.,233,33.7,Screven County High School's percentage of students with discipline incidents is in the 94th percentile of all Georgia schools.,880,Screven County High School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,1.274,Screven County High School's incidents per student rate is in the 97th percentile of all Georgia schools.
Seminole County,Seminole County Middle/High School,873,Seminole County Middle/High School's enrollment is in the 62nd percentile of all Georgia schools.,249,28.5,Seminole County Middle/High School's percentage of students with discipline incidents is in the 88th percentile of all Georgia schools.,818,Seminole County Middle/High School's total number of discipline incidents is in the 90th percentile of all Georgia schools.,0.937,Seminole County Middle/High School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Seminole County,Seminole County Elementary School,781,Seminole County Elementary School's enrollment is in the 50th percentile of all Georgia schools.,130,16.6,Seminole County Elementary School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,295,Seminole County Elementary School's total number of discipline incidents is in the 66th percentile of all Georgia schools.,0.378,Seminole County Elementary School's incidents per student rate is in the 66th percentile of all Georgia schools.
Spalding County,Spalding High School,1387,Spalding High School's enrollment is in the 88th percentile of all Georgia schools.,220,15.9,Spalding High School's percentage of students with discipline incidents is in the 62nd percentile of all Georgia schools.,475,Spalding High School's total number of discipline incidents is in the 78th percentile of all Georgia schools.,0.342,Spalding High School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Spalding County,Moreland Road Elementary,654,Moreland Road Elementary's enrollment is in the 34th percentile of all Georgia schools.,66,10.1,Moreland Road Elementary's percentage of students with discipline incidents is in the 46th percentile of all Georgia schools.,102,Moreland Road Elementary's total number of discipline incidents is in the 38th percentile of all Georgia schools.,0.156,Moreland Road Elementary's incidents per student rate is in the 39th percentile of all Georgia schools.
Spalding County,Carver Road Middle School,555,Carver Road Middle School's enrollment is in the 22nd percentile of all Georgia schools.,133,24,Carver Road Middle School's percentage of students with discipline incidents is in the 81st percentile of all Georgia schools.,279,Carver Road Middle School's total number of discipline incidents is in the 65th percentile of all Georgia schools.,0.503,Carver Road Middle School's incidents per student rate is in the 76th percentile of all Georgia schools.
Spalding County,Kennedy Road Middle School,568,Kennedy Road Middle School's enrollment is in the 24th percentile of all Georgia schools.,212,37.3,Kennedy Road Middle School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,599,Kennedy Road Middle School's total number of discipline incidents is in the 84th percentile of all Georgia schools.,1.055,Kennedy Road Middle School's incidents per student rate is in the 95th percentile of all Georgia schools.
Spalding County,Rehoboth Road Middle School,714,Rehoboth Road Middle School's enrollment is in the 42nd percentile of all Georgia schools.,161,22.5,Rehoboth Road Middle School's percentage of students with discipline incidents is in the 79th percentile of all Georgia schools.,444,Rehoboth Road Middle School's total number of discipline incidents is in the 77th percentile of all Georgia schools.,0.622,Rehoboth Road Middle School's incidents per student rate is in the 83rd percentile of all Georgia schools.
Spalding County,Griffin High School,1541,Griffin High School's enrollment is in the 91st percentile of all Georgia schools.,345,22.4,Griffin High School's percentage of students with discipline incidents is in the 78th percentile of all Georgia schools.,841,Griffin High School's total number of discipline incidents is in the 91st percentile of all Georgia schools.,0.546,Griffin High School's incidents per student rate is in the 79th percentile of all Georgia schools.
Spalding County,Cowan Road Elementary School,759,Cowan Road Elementary School's enrollment is in the 47th percentile of all Georgia schools.,45,5.9,Cowan Road Elementary School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,97,Cowan Road Elementary School's total number of discipline incidents is in the 36th percentile of all Georgia schools.,0.128,Cowan Road Elementary School's incidents per student rate is in the 35th percentile of all Georgia schools.
Spalding County,Jordan Hill Road Elementary School,507,Jordan Hill Road Elementary School's enrollment is in the 17th percentile of all Georgia schools.,29,5.7,Jordan Hill Road Elementary School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,53,Jordan Hill Road Elementary School's total number of discipline incidents is in the 22nd percentile of all Georgia schools.,0.105,Jordan Hill Road Elementary School's incidents per student rate is in the 28th percentile of all Georgia schools.
Spalding County,Futral Road Elementary School,676,Futral Road Elementary School's enrollment is in the 37th percentile of all Georgia schools.,56,8.3,Futral Road Elementary School's percentage of students with discipline incidents is in the 40th percentile of all Georgia schools.,94,Futral Road Elementary School's total number of discipline incidents is in the 36th percentile of all Georgia schools.,0.139,Futral Road Elementary School's incidents per student rate is in the 37th percentile of all Georgia schools.
Spalding County,Cowan Road Middle School,642,Cowan Road Middle School's enrollment is in the 32nd percentile of all Georgia schools.,256,39.9,Cowan Road Middle School's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,852,Cowan Road Middle School's total number of discipline incidents is in the 91st percentile of all Georgia schools.,1.327,Cowan Road Middle School's incidents per student rate is in the 98th percentile of all Georgia schools.
Spalding County,AZ Kelsey Academy,73,AZ Kelsey Academy's enrollment is in the 0th percentile of all Georgia schools.,19,26,AZ Kelsey Academy's percentage of students with discipline incidents is in the 85th percentile of all Georgia schools.,28,AZ Kelsey Academy's total number of discipline incidents is in the 9th percentile of all Georgia schools.,0.384,AZ Kelsey Academy's incidents per student rate is in the 67th percentile of all Georgia schools.
Spalding County,Anne Street Elementary School,511,Anne Street Elementary School's enrollment is in the 17th percentile of all Georgia schools.,97,19,Anne Street Elementary School's percentage of students with discipline incidents is in the 70th percentile of all Georgia schools.,209,Anne Street Elementary School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.409,Anne Street Elementary School's incidents per student rate is in the 69th percentile of all Georgia schools.
Spalding County,Jackson Road Elementary School,502,Jackson Road Elementary School's enrollment is in the 16th percentile of all Georgia schools.,16,3.2,Jackson Road Elementary School's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,72,Jackson Road Elementary School's total number of discipline incidents is in the 28th percentile of all Georgia schools.,0.143,Jackson Road Elementary School's incidents per student rate is in the 37th percentile of all Georgia schools.
Spalding County,Atkinson Elementary School,544,Atkinson Elementary School's enrollment is in the 21st percentile of all Georgia schools.,72,13.2,Atkinson Elementary School's percentage of students with discipline incidents is in the 56th percentile of all Georgia schools.,159,Atkinson Elementary School's total number of discipline incidents is in the 49th percentile of all Georgia schools.,0.292,Atkinson Elementary School's incidents per student rate is in the 57th percentile of all Georgia schools.
Spalding County,Beaverbrook Elementary School,419,Beaverbrook Elementary School's enrollment is in the 9th percentile of all Georgia schools.,29,6.9,Beaverbrook Elementary School's percentage of students with discipline incidents is in the 34th percentile of all Georgia schools.,44,Beaverbrook Elementary School's total number of discipline incidents is in the 18th percentile of all Georgia schools.,0.105,Beaverbrook Elementary School's incidents per student rate is in the 28th percentile of all Georgia schools.
Spalding County,Crescent Road Elementary School,461,Crescent Road Elementary School's enrollment is in the 12th percentile of all Georgia schools.,21,4.6,Crescent Road Elementary School's percentage of students with discipline incidents is in the 23rd percentile of all Georgia schools.,37,Crescent Road Elementary School's total number of discipline incidents is in the 14th percentile of all Georgia schools.,0.08,Crescent Road Elementary School's incidents per student rate is in the 22nd percentile of all Georgia schools.
Spalding County,Moore Elementary School,493,Moore Elementary School's enrollment is in the 15th percentile of all Georgia schools.,39,7.9,Moore Elementary School's percentage of students with discipline incidents is in the 38th percentile of all Georgia schools.,58,Moore Elementary School's total number of discipline incidents is in the 24th percentile of all Georgia schools.,0.118,Moore Elementary School's incidents per student rate is in the 32nd percentile of all Georgia schools.
Spalding County,Orrs Elementary School,711,Orrs Elementary School's enrollment is in the 41st percentile of all Georgia schools.,45,6.3,Orrs Elementary School's percentage of students with discipline incidents is in the 31st percentile of all Georgia schools.,73,Orrs Elementary School's total number of discipline incidents is in the 28th percentile of all Georgia schools.,0.103,Orrs Elementary School's incidents per student rate is in the 28th percentile of all Georgia schools.
Stephens County,Stephens County Middle School,943,Stephens County Middle School's enrollment is in the 68th percentile of all Georgia schools.,197,20.9,Stephens County Middle School's percentage of students with discipline incidents is in the 75th percentile of all Georgia schools.,719,Stephens County Middle School's total number of discipline incidents is in the 87th percentile of all Georgia schools.,0.762,Stephens County Middle School's incidents per student rate is in the 89th percentile of all Georgia schools.
Stephens County,Liberty Elementary School,633,Liberty Elementary School's enrollment is in the 31st percentile of all Georgia schools.,41,6.5,Liberty Elementary School's percentage of students with discipline incidents is in the 32nd percentile of all Georgia schools.,76,Liberty Elementary School's total number of discipline incidents is in the 31st percentile of all Georgia schools.,0.12,Liberty Elementary School's incidents per student rate is in the 33rd percentile of all Georgia schools.
Stephens County,Toccoa Elementary School,725,Toccoa Elementary School's enrollment is in the 43rd percentile of all Georgia schools.,90,12.4,Toccoa Elementary School's percentage of students with discipline incidents is in the 53rd percentile of all Georgia schools.,229,Toccoa Elementary School's total number of discipline incidents is in the 60th percentile of all Georgia schools.,0.316,Toccoa Elementary School's incidents per student rate is in the 61st percentile of all Georgia schools.
Stephens County,Stephens County Fifth Grade Academy,324,Stephens County Fifth Grade Academy's enrollment is in the 4th percentile of all Georgia schools.,53,16.4,Stephens County Fifth Grade Academy's percentage of students with discipline incidents is in the 63rd percentile of all Georgia schools.,111,Stephens County Fifth Grade Academy's total number of discipline incidents is in the 39th percentile of all Georgia schools.,0.343,Stephens County Fifth Grade Academy's incidents per student rate is in the 63rd percentile of all Georgia schools.
Stephens County,Stephens County High School,1206,Stephens County High School's enrollment is in the 82nd percentile of all Georgia schools.,325,26.9,Stephens County High School's percentage of students with discipline incidents is in the 86th percentile of all Georgia schools.,744,Stephens County High School's total number of discipline incidents is in the 88th percentile of all Georgia schools.,0.617,Stephens County High School's incidents per student rate is in the 83rd percentile of all Georgia schools.
Stewart County,Stewart County Middle School,111,Stewart County Middle School's enrollment is in the 1st percentile of all Georgia schools.,41,36.9,Stewart County Middle School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,76,Stewart County Middle School's total number of discipline incidents is in the 31st percentile of all Georgia schools.,0.685,Stewart County Middle School's incidents per student rate is in the 86th percentile of all Georgia schools.
Stewart County,Stewart County Elementary School,296,Stewart County Elementary School's enrollment is in the 4th percentile of all Georgia schools.,32,10.8,Stewart County Elementary School's percentage of students with discipline incidents is in the 48th percentile of all Georgia schools.,45,Stewart County Elementary School's total number of discipline incidents is in the 18th percentile of all Georgia schools.,0.152,Stewart County Elementary School's incidents per student rate is in the 39th percentile of all Georgia schools.
Stewart County,Stewart County High School,134,Stewart County High School's enrollment is in the 1st percentile of all Georgia schools.,43,32.1,Stewart County High School's percentage of students with discipline incidents is in the 93rd percentile of all Georgia schools.,81,Stewart County High School's total number of discipline incidents is in the 32nd percentile of all Georgia schools.,0.604,Stewart County High School's incidents per student rate is in the 82nd percentile of all Georgia schools.
Sumter County,Sumter County Primary School,922,Sumter County Primary School's enrollment is in the 66th percentile of all Georgia schools.,174,18.9,Sumter County Primary School's percentage of students with discipline incidents is in the 70th percentile of all Georgia schools.,315,Sumter County Primary School's total number of discipline incidents is in the 68th percentile of all Georgia schools.,0.342,Sumter County Primary School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Sumter County,Americus Sumter County High South,960,Americus Sumter County High South's enrollment is in the 69th percentile of all Georgia schools.,350,36.5,Americus Sumter County High South's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,857,Americus Sumter County High South's total number of discipline incidents is in the 91st percentile of all Georgia schools.,0.893,Americus Sumter County High South's incidents per student rate is in the 93rd percentile of all Georgia schools.
Sumter County,Sumter County Elementary School,723,Sumter County Elementary School's enrollment is in the 43rd percentile of all Georgia schools.,270,37.3,Sumter County Elementary School's percentage of students with discipline incidents is in the 96th percentile of all Georgia schools.,908,Sumter County Elementary School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,1.256,Sumter County Elementary School's incidents per student rate is in the 97th percentile of all Georgia schools.
Sumter County,Sumter County Middle School,594,Sumter County Middle School's enrollment is in the 27th percentile of all Georgia schools.,267,44.9,Sumter County Middle School's percentage of students with discipline incidents is in the 99th percentile of all Georgia schools.,870,Sumter County Middle School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,1.465,Sumter County Middle School's incidents per student rate is in the 99th percentile of all Georgia schools.
Sumter County,Americus Sumter County High North,334,Americus Sumter County High North's enrollment is in the 5th percentile of all Georgia schools.,180,53.9,Americus Sumter County High North's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,719,Americus Sumter County High North's total number of discipline incidents is in the 87th percentile of all Georgia schools.,2.153,Americus Sumter County High North's incidents per student rate is in the 100th percentile of all Georgia schools.
Sumter County,Furlow Charter School,477,Furlow Charter School's enrollment is in the 14th percentile of all Georgia schools.,66,13.8,Furlow Charter School's percentage of students with discipline incidents is in the 56th percentile of all Georgia schools.,97,Furlow Charter School's total number of discipline incidents is in the 36th percentile of all Georgia schools.,0.203,Furlow Charter School's incidents per student rate is in the 46th percentile of all Georgia schools.
Sumter County,Staley Middle School,971,Staley Middle School's enrollment is in the 70th percentile of all Georgia schools.,335,34.5,Staley Middle School's percentage of students with discipline incidents is in the 94th percentile of all Georgia schools.,896,Staley Middle School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,0.923,Staley Middle School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Talbot County,Central Elementary/High School,537,Central Elementary/High School's enrollment is in the 20th percentile of all Georgia schools.,149,27.7,Central Elementary/High School's percentage of students with discipline incidents is in the 87th percentile of all Georgia schools.,406,Central Elementary/High School's total number of discipline incidents is in the 74th percentile of all Georgia schools.,0.756,Central Elementary/High School's incidents per student rate is in the 89th percentile of all Georgia schools.
Taliaferro County,Taliaferro County School,184,Taliaferro County School's enrollment is in the 1st percentile of all Georgia schools.,18,9.8,Taliaferro County School's percentage of students with discipline incidents is in the 45th percentile of all Georgia schools.,25,Taliaferro County School's total number of discipline incidents is in the 7th percentile of all Georgia schools.,0.136,Taliaferro County School's incidents per student rate is in the 36th percentile of all Georgia schools.
Tattnall County,Reidsville Middle School,375,Reidsville Middle School's enrollment is in the 7th percentile of all Georgia schools.,73,19.5,Reidsville Middle School's percentage of students with discipline incidents is in the 72nd percentile of all Georgia schools.,149,Reidsville Middle School's total number of discipline incidents is in the 47th percentile of all Georgia schools.,0.397,Reidsville Middle School's incidents per student rate is in the 68th percentile of all Georgia schools.
Tattnall County,Tattnall County High School,1025,Tattnall County High School's enrollment is in the 73rd percentile of all Georgia schools.,138,13.5,Tattnall County High School's percentage of students with discipline incidents is in the 56th percentile of all Georgia schools.,204,Tattnall County High School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.199,Tattnall County High School's incidents per student rate is in the 46th percentile of all Georgia schools.
Tattnall County,Glennville Middle School,396,Glennville Middle School's enrollment is in the 8th percentile of all Georgia schools.,78,19.7,Glennville Middle School's percentage of students with discipline incidents is in the 72nd percentile of all Georgia schools.,223,Glennville Middle School's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.563,Glennville Middle School's incidents per student rate is in the 80th percentile of all Georgia schools.
Tattnall County,Collins Elementary School,337,Collins Elementary School's enrollment is in the 5th percentile of all Georgia schools.,32,9.5,Collins Elementary School's percentage of students with discipline incidents is in the 44th percentile of all Georgia schools.,62,Collins Elementary School's total number of discipline incidents is in the 25th percentile of all Georgia schools.,0.184,Collins Elementary School's incidents per student rate is in the 44th percentile of all Georgia schools.
Tattnall County,Collins Middle School,155,Collins Middle School's enrollment is in the 1st percentile of all Georgia schools.,33,21.3,Collins Middle School's percentage of students with discipline incidents is in the 76th percentile of all Georgia schools.,68,Collins Middle School's total number of discipline incidents is in the 27th percentile of all Georgia schools.,0.439,Collins Middle School's incidents per student rate is in the 72nd percentile of all Georgia schools.
Tattnall County,Glennville Elementary School,975,Glennville Elementary School's enrollment is in the 70th percentile of all Georgia schools.,74,7.6,Glennville Elementary School's percentage of students with discipline incidents is in the 37th percentile of all Georgia schools.,147,Glennville Elementary School's total number of discipline incidents is in the 47th percentile of all Georgia schools.,0.151,Glennville Elementary School's incidents per student rate is in the 38th percentile of all Georgia schools.
Tattnall County,Reidsville Elementary School,895,Reidsville Elementary School's enrollment is in the 64th percentile of all Georgia schools.,90,10.1,Reidsville Elementary School's percentage of students with discipline incidents is in the 46th percentile of all Georgia schools.,200,Reidsville Elementary School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.223,Reidsville Elementary School's incidents per student rate is in the 50th percentile of all Georgia schools.
Taylor County,Taylor County Primary School,344,Taylor County Primary School's enrollment is in the 6th percentile of all Georgia schools.,57,16.6,Taylor County Primary School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,127,Taylor County Primary School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.369,Taylor County Primary School's incidents per student rate is in the 65th percentile of all Georgia schools.
