SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Carroll County – Sand Hill Elementary School,867,61,Sand Hill Elementary School's enrollment is in the 61st percentile of all Georgia schools.,48,5.5,27,Sand Hill Elementary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,118,41,Sand Hill Elementary School's total number of discipline incidents is in the 41st percentile of all Georgia schools.,0.136,36,Sand Hill Elementary School's incidents per student rate is in the 36th percentile of all Georgia schools.
Carroll County – Villa Rica High School,1729,93,Villa Rica High School's enrollment is in the 93rd percentile of all Georgia schools.,290,16.8,65,Villa Rica High School's percentage of students with discipline incidents is in the 65th percentile of all Georgia schools.,728,88,Villa Rica High School's total number of discipline incidents is in the 88th percentile of all Georgia schools.,0.421,70,Villa Rica High School's incidents per student rate is in the 70th percentile of all Georgia schools.
Catoosa County – Battlefield Primary,601,28,Battlefield Primary's enrollment is in the 28th percentile of all Georgia schools.,14,2.3,7,Battlefield Primary's percentage of students with discipline incidents is in the 7th percentile of all Georgia schools.,20,4,Battlefield Primary's total number of discipline incidents is in the 4th percentile of all Georgia schools.,0.033,5,Battlefield Primary's incidents per student rate is in the 5th percentile of all Georgia schools.
Catoosa County – Heritage High School,1367,88,Heritage High School's enrollment is in the 88th percentile of all Georgia schools.,125,9.1,42,Heritage High School's percentage of students with discipline incidents is in the 42nd percentile of all Georgia schools.,234,60,Heritage High School's total number of discipline incidents is in the 60th percentile of all Georgia schools.,0.171,42,Heritage High School's incidents per student rate is in the 42nd percentile of all Georgia schools.
Catoosa County – Heritage Middle School,956,69,Heritage Middle School's enrollment is in the 69th percentile of all Georgia schools.,56,5.9,28,Heritage Middle School's percentage of students with discipline incidents is in the 28th percentile of all Georgia schools.,98,36,Heritage Middle School's total number of discipline incidents is in the 36th percentile of all Georgia schools.,0.103,28,Heritage Middle School's incidents per student rate is in the 28th percentile of all Georgia schools.
Catoosa County – Lakeview-Fort Oglethorpe High School,1010,73,Lakeview-Fort Oglethorpe High School's enrollment is in the 73rd percentile of all Georgia schools.,114,11.3,50,Lakeview-Fort Oglethorpe High School's percentage of students with discipline incidents is in the 50th percentile of all Georgia schools.,174,52,Lakeview-Fort Oglethorpe High School's total number of discipline incidents is in the 52nd percentile of all Georgia schools.,0.172,42,Lakeview-Fort Oglethorpe High School's incidents per student rate is in the 42nd percentile of all Georgia schools.
Catoosa County – West Side Elementary School,555,22,West Side Elementary School's enrollment is in the 22nd percentile of all Georgia schools.,13,2.3,7,West Side Elementary School's percentage of students with discipline incidents is in the 7th percentile of all Georgia schools.,21,4,West Side Elementary School's total number of discipline incidents is in the 4th percentile of all Georgia schools.,0.038,8,West Side Elementary School's incidents per student rate is in the 8th percentile of all Georgia schools.
Catoosa County – Lakeview Middle School,817,55,Lakeview Middle School's enrollment is in the 55th percentile of all Georgia schools.,130,15.9,62,Lakeview Middle School's percentage of students with discipline incidents is in the 62nd percentile of all Georgia schools.,344,70,Lakeview Middle School's total number of discipline incidents is in the 70th percentile of all Georgia schools.,0.421,70,Lakeview Middle School's incidents per student rate is in the 70th percentile of all Georgia schools.
Catoosa County – Cloud Springs Elementary School,420,9,Cloud Springs Elementary School's enrollment is in the 9th percentile of all Georgia schools.,11,2.6,9,Cloud Springs Elementary School's percentage of students with discipline incidents is in the 9th percentile of all Georgia schools.,16,2,Cloud Springs Elementary School's total number of discipline incidents is in the 2nd percentile of all Georgia schools.,0.038,8,Cloud Springs Elementary School's incidents per student rate is in the 8th percentile of all Georgia schools.
Catoosa County – Ringgold High School,1102,78,Ringgold High School's enrollment is in the 78th percentile of all Georgia schools.,135,12.3,53,Ringgold High School's percentage of students with discipline incidents is in the 53rd percentile of all Georgia schools.,232,60,Ringgold High School's total number of discipline incidents is in the 60th percentile of all Georgia schools.,0.211,48,Ringgold High School's incidents per student rate is in the 48th percentile of all Georgia schools.
