SYS_SCH,ENROLLMENT,ENROLLMENT_PCT,ENROLLMENT_STATEMENT,STUDENTS_WITH_INCIDENTS,%_SWI,%_SWI_PCT,%_SWI_STATEMENT,TOTAL_INCIDENTS,TOTAL_INCIDENTS_PCT,TOTAL_INCIDENTS_STATEMENT,INCIDENTS_PER_STUDENT,INCIDENTS_PER_STUDENT_PCT,INCIDENTS_PER_STUDENT_STATEMENT
Polk County – Rockmart High School,955,69,Rockmart High School's enrollment is in the 69th percentile of all Georgia schools.,253,26.5,86,Rockmart High School's percentage of students with discipline incidents is in the 86th percentile of all Georgia schools.,517,80,Rockmart High School's total number of discipline incidents is in the 80th percentile of all Georgia schools.,0.541,78,Rockmart High School's incidents per student rate is in the 78th percentile of all Georgia schools.
Polk County – Cedartown Middle School,1006,72,Cedartown Middle School's enrollment is in the 72nd percentile of all Georgia schools.,231,23,79,Cedartown Middle School's percentage of students with discipline incidents is in the 79th percentile of all Georgia schools.,562,83,Cedartown Middle School's total number of discipline incidents is in the 83rd percentile of all Georgia schools.,0.559,80,Cedartown Middle School's incidents per student rate is in the 80th percentile of all Georgia schools.
Polk County – Rockmart Middle School,781,50,Rockmart Middle School's enrollment is in the 50th percentile of all Georgia schools.,176,22.5,79,Rockmart Middle School's percentage of students with discipline incidents is in the 79th percentile of all Georgia schools.,410,75,Rockmart Middle School's total number of discipline incidents is in the 75th percentile of all Georgia schools.,0.525,78,Rockmart Middle School's incidents per student rate is in the 78th percentile of all Georgia schools.
Polk County – Westside Elementary School,625,31,Westside Elementary School's enrollment is in the 31st percentile of all Georgia schools.,41,6.6,33,Westside Elementary School's percentage of students with discipline incidents is in the 33rd percentile of all Georgia schools.,79,31,Westside Elementary School's total number of discipline incidents is in the 31st percentile of all Georgia schools.,0.126,34,Westside Elementary School's incidents per student rate is in the 34th percentile of all Georgia schools.
Polk County – Cherokee Elementary School,770,49,Cherokee Elementary School's enrollment is in the 49th percentile of all Georgia schools.,11,1.4,2,Cherokee Elementary School's percentage of students with discipline incidents is in the 2nd percentile of all Georgia schools.,18,2,Cherokee Elementary School's total number of discipline incidents is in the 2nd percentile of all Georgia schools.,0.023,2,Cherokee Elementary School's incidents per student rate is in the 2nd percentile of all Georgia schools.
Polk County – Northside Elementary,554,22,Northside Elementary's enrollment is in the 22nd percentile of all Georgia schools.,18,3.2,14,Northside Elementary's percentage of students with discipline incidents is in the 14th percentile of all Georgia schools.,22,5,Northside Elementary's total number of discipline incidents is in the 5th percentile of all Georgia schools.,0.04,9,Northside Elementary's incidents per student rate is in the 9th percentile of all Georgia schools.
Polk County – Harpst Academy,120,1,Harpst Academy's enrollment is in the 1st percentile of all Georgia schools.,78,65,100,Harpst Academy's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,542,82,Harpst Academy's total number of discipline incidents is in the 82nd percentile of all Georgia schools.,4.517,100,Harpst Academy's incidents per student rate is in the 100th percentile of all Georgia schools.
Polk County – Van Wert Elementary School,926,67,Van Wert Elementary School's enrollment is in the 67th percentile of all Georgia schools.,44,4.8,24,Van Wert Elementary School's percentage of students with discipline incidents is in the 24th percentile of all Georgia schools.,89,34,Van Wert Elementary School's total number of discipline incidents is in the 34th percentile of all Georgia schools.,0.096,27,Van Wert Elementary School's incidents per student rate is in the 27th percentile of all Georgia schools.
Polk County – Eastside Elementary School,890,63,Eastside Elementary School's enrollment is in the 63rd percentile of all Georgia schools.,33,3.7,18,Eastside Elementary School's percentage of students with discipline incidents is in the 18th percentile of all Georgia schools.,55,23,Eastside Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.062,16,Eastside Elementary School's incidents per student rate is in the 16th percentile of all Georgia schools.
Polk County – Youngs Grove Elementary School,661,35,Youngs Grove Elementary School's enrollment is in the 35th percentile of all Georgia schools.,15,2.3,7,Youngs Grove Elementary School's percentage of students with discipline incidents is in the 7th percentile of all Georgia schools.,21,4,Youngs Grove Elementary School's total number of discipline incidents is in the 4th percentile of all Georgia schools.,0.032,5,Youngs Grove Elementary School's incidents per student rate is in the 5th percentile of all Georgia schools.
Polk County – Cedartown High School,1301,86,Cedartown High School's enrollment is in the 86th percentile of all Georgia schools.,196,15.1,60,Cedartown High School's percentage of students with discipline incidents is in the 60th percentile of all Georgia schools.,368,72,Cedartown High School's total number of discipline incidents is in the 72nd percentile of all Georgia schools.,0.283,56,Cedartown High School's incidents per student rate is in the 56th percentile of all Georgia schools.
Pulaski County – Pulaski County Middle School,294,4,Pulaski County Middle School's enrollment is in the 4th percentile of all Georgia schools.,140,47.6,99,Pulaski County Middle School's percentage of students with discipline incidents is in the 99th percentile of all Georgia schools.,583,83,Pulaski County Middle School's total number of discipline incidents is in the 83rd percentile of all Georgia schools.,1.983,100,Pulaski County Middle School's incidents per student rate is in the 100th percentile of all Georgia schools.
Pulaski County – Hawkinsville High School,401,8,Hawkinsville High School's enrollment is in the 8th percentile of all Georgia schools.,158,39.4,97,Hawkinsville High School's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,376,73,Hawkinsville High School's total number of discipline incidents is in the 73rd percentile of all Georgia schools.,0.938,93,Hawkinsville High School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Pulaski County – Pulaski County Elementary School,771,49,Pulaski County Elementary School's enrollment is in the 49th percentile of all Georgia schools.,154,20,73,Pulaski County Elementary School's percentage of students with discipline incidents is in the 73rd percentile of all Georgia schools.,426,76,Pulaski County Elementary School's total number of discipline incidents is in the 76th percentile of all Georgia schools.,0.553,79,Pulaski County Elementary School's incidents per student rate is in the 79th percentile of all Georgia schools.
Putnam County – Putnam County Middle School,650,33,Putnam County Middle School's enrollment is in the 33rd percentile of all Georgia schools.,207,31.8,92,Putnam County Middle School's percentage of students with discipline incidents is in the 92nd percentile of all Georgia schools.,707,87,Putnam County Middle School's total number of discipline incidents is in the 87th percentile of all Georgia schools.,1.088,95,Putnam County Middle School's incidents per student rate is in the 95th percentile of all Georgia schools.
Putnam County – Putnam County Elementary School,799,53,Putnam County Elementary School's enrollment is in the 53rd percentile of all Georgia schools.,67,8.4,40,Putnam County Elementary School's percentage of students with discipline incidents is in the 40th percentile of all Georgia schools.,140,45,Putnam County Elementary School's total number of discipline incidents is in the 45th percentile of all Georgia schools.,0.175,43,Putnam County Elementary School's incidents per student rate is in the 43rd percentile of all Georgia schools.
Putnam County – Putnam County High School,826,56,Putnam County High School's enrollment is in the 56th percentile of all Georgia schools.,322,39,97,Putnam County High School's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,925,93,Putnam County High School's total number of discipline incidents is in the 93rd percentile of all Georgia schools.,1.12,96,Putnam County High School's incidents per student rate is in the 96th percentile of all Georgia schools.
Quitman County – Quitman County High School,93,0,Quitman County High School's enrollment is in the 0th percentile of all Georgia schools.,26,28,88,Quitman County High School's percentage of students with discipline incidents is in the 88th percentile of all Georgia schools.,82,32,Quitman County High School's total number of discipline incidents is in the 32nd percentile of all Georgia schools.,0.882,92,Quitman County High School's incidents per student rate is in the 92nd percentile of all Georgia schools.
Quitman County – Quitman County Elementary,265,3,Quitman County Elementary's enrollment is in the 3rd percentile of all Georgia schools.,78,29.4,90,Quitman County Elementary's percentage of students with discipline incidents is in the 90th percentile of all Georgia schools.,224,59,Quitman County Elementary's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.845,92,Quitman County Elementary's incidents per student rate is in the 92nd percentile of all Georgia schools.
Rabun County – Rabun County Middle School,365,6,Rabun County Middle School's enrollment is in the 6th percentile of all Georgia schools.,76,20.8,75,Rabun County Middle School's percentage of students with discipline incidents is in the 75th percentile of all Georgia schools.,127,42,Rabun County Middle School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.348,63,Rabun County Middle School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Rabun County – Rabun County Elementary School,712,41,Rabun County Elementary School's enrollment is in the 41st percentile of all Georgia schools.,101,14.2,57,Rabun County Elementary School's percentage of students with discipline incidents is in the 57th percentile of all Georgia schools.,187,54,Rabun County Elementary School's total number of discipline incidents is in the 54th percentile of all Georgia schools.,0.263,55,Rabun County Elementary School's incidents per student rate is in the 55th percentile of all Georgia schools.
Rabun County – Rabun County Primary School,653,34,Rabun County Primary School's enrollment is in the 34th percentile of all Georgia schools.,42,6.4,32,Rabun County Primary School's percentage of students with discipline incidents is in the 32nd percentile of all Georgia schools.,124,42,Rabun County Primary School's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.19,45,Rabun County Primary School's incidents per student rate is in the 45th percentile of all Georgia schools.
Rabun County – Rabun County High School,681,37,Rabun County High School's enrollment is in the 37th percentile of all Georgia schools.,164,24.1,82,Rabun County High School's percentage of students with discipline incidents is in the 82nd percentile of all Georgia schools.,284,65,Rabun County High School's total number of discipline incidents is in the 65th percentile of all Georgia schools.,0.417,70,Rabun County High School's incidents per student rate is in the 70th percentile of all Georgia schools.
Randolph County – Randolph Clay Middle School,179,1,Randolph Clay Middle School's enrollment is in the 1st percentile of all Georgia schools.,72,40.2,97,Randolph Clay Middle School's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,139,45,Randolph Clay Middle School's total number of discipline incidents is in the 45th percentile of all Georgia schools.,0.777,90,Randolph Clay Middle School's incidents per student rate is in the 90th percentile of all Georgia schools.
Randolph County – Randolph Clay High School,317,4,Randolph Clay High School's enrollment is in the 4th percentile of all Georgia schools.,128,40.4,98,Randolph Clay High School's percentage of students with discipline incidents is in the 98th percentile of all Georgia schools.,262,64,Randolph Clay High School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.826,91,Randolph Clay High School's incidents per student rate is in the 91st percentile of all Georgia schools.
Randolph County – Randolph County Elementary School,589,26,Randolph County Elementary School's enrollment is in the 26th percentile of all Georgia schools.,211,35.8,95,Randolph County Elementary School's percentage of students with discipline incidents is in the 95th percentile of all Georgia schools.,708,87,Randolph County Elementary School's total number of discipline incidents is in the 87th percentile of all Georgia schools.,1.202,97,Randolph County Elementary School's incidents per student rate is in the 97th percentile of all Georgia schools.
Richmond County – Cross Creek High School,1434,89,Cross Creek High School's enrollment is in the 89th percentile of all Georgia schools.,720,50.2,99,Cross Creek High School's percentage of students with discipline incidents is in the 99th percentile of all Georgia schools.,2761,100,Cross Creek High School's total number of discipline incidents is in the 100th percentile of all Georgia schools.,1.925,100,Cross Creek High School's incidents per student rate is in the 100th percentile of all Georgia schools.
Richmond County – Craig-Houghton Elementary School,513,17,Craig-Houghton Elementary School's enrollment is in the 17th percentile of all Georgia schools.,95,18.5,69,Craig-Houghton Elementary School's percentage of students with discipline incidents is in the 69th percentile of all Georgia schools.,221,59,Craig-Houghton Elementary School's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.431,71,Craig-Houghton Elementary School's incidents per student rate is in the 71st percentile of all Georgia schools.
Richmond County – Hephzibah Elementary School,472,13,Hephzibah Elementary School's enrollment is in the 13rd percentile of all Georgia schools.,46,9.7,44,Hephzibah Elementary School's percentage of students with discipline incidents is in the 44th percentile of all Georgia schools.,83,32,Hephzibah Elementary School's total number of discipline incidents is in the 32nd percentile of all Georgia schools.,0.176,43,Hephzibah Elementary School's incidents per student rate is in the 43rd percentile of all Georgia schools.
Richmond County – Freedom Park Elementary,892,64,Freedom Park Elementary's enrollment is in the 64th percentile of all Georgia schools.,61,6.8,34,Freedom Park Elementary's percentage of students with discipline incidents is in the 34th percentile of all Georgia schools.,142,46,Freedom Park Elementary's total number of discipline incidents is in the 46th percentile of all Georgia schools.,0.159,40,Freedom Park Elementary's incidents per student rate is in the 40th percentile of all Georgia schools.
Richmond County – Wilkinson Gardens Elementary School,585,26,Wilkinson Gardens Elementary School's enrollment is in the 26th percentile of all Georgia schools.,154,26.3,85,Wilkinson Gardens Elementary School's percentage of students with discipline incidents is in the 85th percentile of all Georgia schools.,461,78,Wilkinson Gardens Elementary School's total number of discipline incidents is in the 78th percentile of all Georgia schools.,0.788,90,Wilkinson Gardens Elementary School's incidents per student rate is in the 90th percentile of all Georgia schools.
Richmond County – Deer Chase Elementary School,617,28,Deer Chase Elementary School's enrollment is in the 28th percentile of all Georgia schools.,58,9.4,43,Deer Chase Elementary School's percentage of students with discipline incidents is in the 43rd percentile of all Georgia schools.,86,33,Deer Chase Elementary School's total number of discipline incidents is in the 33rd percentile of all Georgia schools.,0.139,37,Deer Chase Elementary School's incidents per student rate is in the 37th percentile of all Georgia schools.
Richmond County – Pine Hill Middle School,653,34,Pine Hill Middle School's enrollment is in the 34th percentile of all Georgia schools.,254,38.9,97,Pine Hill Middle School's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,701,87,Pine Hill Middle School's total number of discipline incidents is in the 87th percentile of all Georgia schools.,1.074,95,Pine Hill Middle School's incidents per student rate is in the 95th percentile of all Georgia schools.
Richmond County – W.S. Hornsby K-8 School,409,8,W.S. Hornsby K-8 School's enrollment is in the 8th percentile of all Georgia schools.,279,68.2,100,W.S. Hornsby K-8 School's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,1350,97,W.S. Hornsby K-8 School's total number of discipline incidents is in the 97th percentile of all Georgia schools.,3.301,100,W.S. Hornsby K-8 School's incidents per student rate is in the 100th percentile of all Georgia schools.
Richmond County – Lamar - Milledge Elementary School,554,22,Lamar - Milledge Elementary School's enrollment is in the 22nd percentile of all Georgia schools.,36,6.5,32,Lamar - Milledge Elementary School's percentage of students with discipline incidents is in the 32nd percentile of all Georgia schools.,54,22,Lamar - Milledge Elementary School's total number of discipline incidents is in the 22nd percentile of all Georgia schools.,0.097,27,Lamar - Milledge Elementary School's incidents per student rate is in the 27th percentile of all Georgia schools.
Richmond County – Meadowbrook Elementary School,593,27,Meadowbrook Elementary School's enrollment is in the 27th percentile of all Georgia schools.,166,28,88,Meadowbrook Elementary School's percentage of students with discipline incidents is in the 88th percentile of all Georgia schools.,454,77,Meadowbrook Elementary School's total number of discipline incidents is in the 77th percentile of all Georgia schools.,0.766,89,Meadowbrook Elementary School's incidents per student rate is in the 89th percentile of all Georgia schools.
Richmond County – Morgan Road Middle School,465,13,Morgan Road Middle School's enrollment is in the 13rd percentile of all Georgia schools.,168,36.1,95,Morgan Road Middle School's percentage of students with discipline incidents is in the 95th percentile of all Georgia schools.,396,74,Morgan Road Middle School's total number of discipline incidents is in the 74th percentile of all Georgia schools.,0.852,92,Morgan Road Middle School's incidents per student rate is in the 92nd percentile of all Georgia schools.
Richmond County – Jamestown Elementary School,421,9,Jamestown Elementary School's enrollment is in the 9th percentile of all Georgia schools.,57,13.5,56,Jamestown Elementary School's percentage of students with discipline incidents is in the 56th percentile of all Georgia schools.,101,37,Jamestown Elementary School's total number of discipline incidents is in the 37th percentile of all Georgia schools.,0.24,52,Jamestown Elementary School's incidents per student rate is in the 52nd percentile of all Georgia schools.
Richmond County – Goshen Elementary School,595,27,Goshen Elementary School's enrollment is in the 27th percentile of all Georgia schools.,65,10.9,49,Goshen Elementary School's percentage of students with discipline incidents is in the 49th percentile of all Georgia schools.,148,47,Goshen Elementary School's total number of discipline incidents is in the 47th percentile of all Georgia schools.,0.249,53,Goshen Elementary School's incidents per student rate is in the 53rd percentile of all Georgia schools.
Richmond County – Glenn Hills Middle School,668,36,Glenn Hills Middle School's enrollment is in the 36th percentile of all Georgia schools.,311,46.6,99,Glenn Hills Middle School's percentage of students with discipline incidents is in the 99th percentile of all Georgia schools.,891,92,Glenn Hills Middle School's total number of discipline incidents is in the 92nd percentile of all Georgia schools.,1.334,98,Glenn Hills Middle School's incidents per student rate is in the 98th percentile of all Georgia schools.
Richmond County – Sue Reynolds Elementary School,1095,78,Sue Reynolds Elementary School's enrollment is in the 78th percentile of all Georgia schools.,206,18.8,70,Sue Reynolds Elementary School's percentage of students with discipline incidents is in the 70th percentile of all Georgia schools.,664,86,Sue Reynolds Elementary School's total number of discipline incidents is in the 86th percentile of all Georgia schools.,0.606,82,Sue Reynolds Elementary School's incidents per student rate is in the 82nd percentile of all Georgia schools.
Richmond County – Diamond Lakes Elementary School,747,46,Diamond Lakes Elementary School's enrollment is in the 46th percentile of all Georgia schools.,162,21.7,77,Diamond Lakes Elementary School's percentage of students with discipline incidents is in the 77th percentile of all Georgia schools.,469,78,Diamond Lakes Elementary School's total number of discipline incidents is in the 78th percentile of all Georgia schools.,0.628,84,Diamond Lakes Elementary School's incidents per student rate is in the 84th percentile of all Georgia schools.
Richmond County – Richmond County Technical Career Magnet School,428,10,Richmond County Technical Career Magnet School's enrollment is in the 10th percentile of all Georgia schools.,130,30.4,91,Richmond County Technical Career Magnet School's percentage of students with discipline incidents is in the 91st percentile of all Georgia schools.,226,59,Richmond County Technical Career Magnet School's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.528,78,Richmond County Technical Career Magnet School's incidents per student rate is in the 78th percentile of all Georgia schools.
Richmond County – Willis Foreman Elementary School,391,7,Willis Foreman Elementary School's enrollment is in the 7th percentile of all Georgia schools.,97,24.8,83,Willis Foreman Elementary School's percentage of students with discipline incidents is in the 83rd percentile of all Georgia schools.,214,57,Willis Foreman Elementary School's total number of discipline incidents is in the 57th percentile of all Georgia schools.,0.547,79,Willis Foreman Elementary School's incidents per student rate is in the 79th percentile of all Georgia schools.
Richmond County – Tobacco Road Elementary School,504,16,Tobacco Road Elementary School's enrollment is in the 16th percentile of all Georgia schools.,60,11.9,52,Tobacco Road Elementary School's percentage of students with discipline incidents is in the 52nd percentile of all Georgia schools.,150,48,Tobacco Road Elementary School's total number of discipline incidents is in the 48th percentile of all Georgia schools.,0.298,59,Tobacco Road Elementary School's incidents per student rate is in the 59th percentile of all Georgia schools.
Richmond County – McBean Elementary School,484,14,McBean Elementary School's enrollment is in the 14th percentile of all Georgia schools.,48,9.9,45,McBean Elementary School's percentage of students with discipline incidents is in the 45th percentile of all Georgia schools.,84,33,McBean Elementary School's total number of discipline incidents is in the 33rd percentile of all Georgia schools.,0.174,43,McBean Elementary School's incidents per student rate is in the 43rd percentile of all Georgia schools.
Richmond County – Lake Forest Hills Elementary School,768,48,Lake Forest Hills Elementary School's enrollment is in the 48th percentile of all Georgia schools.,109,14.2,57,Lake Forest Hills Elementary School's percentage of students with discipline incidents is in the 57th percentile of all Georgia schools.,239,61,Lake Forest Hills Elementary School's total number of discipline incidents is in the 61st percentile of all Georgia schools.,0.311,60,Lake Forest Hills Elementary School's incidents per student rate is in the 60th percentile of all Georgia schools.
Richmond County – Jenkins-White Elementary Charter School,501,16,Jenkins-White Elementary Charter School's enrollment is in the 16th percentile of all Georgia schools.,178,35.5,95,Jenkins-White Elementary Charter School's percentage of students with discipline incidents is in the 95th percentile of all Georgia schools.,592,84,Jenkins-White Elementary Charter School's total number of discipline incidents is in the 84th percentile of all Georgia schools.,1.182,97,Jenkins-White Elementary Charter School's incidents per student rate is in the 97th percentile of all Georgia schools.
Richmond County – Spirit Creek Middle School,556,22,Spirit Creek Middle School's enrollment is in the 22nd percentile of all Georgia schools.,339,61,100,Spirit Creek Middle School's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,1607,99,Spirit Creek Middle School's total number of discipline incidents is in the 99th percentile of all Georgia schools.,2.89,100,Spirit Creek Middle School's incidents per student rate is in the 100th percentile of all Georgia schools.
Richmond County – Alternative Education Center at Lamar,535,20,Alternative Education Center at Lamar's enrollment is in the 20th percentile of all Georgia schools.,374,69.9,100,Alternative Education Center at Lamar's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,1459,98,Alternative Education Center at Lamar's total number of discipline incidents is in the 98th percentile of all Georgia schools.,2.727,100,Alternative Education Center at Lamar's incidents per student rate is in the 100th percentile of all Georgia schools.
Richmond County – Performance Learning Center,404,8,Performance Learning Center's enrollment is in the 8th percentile of all Georgia schools.,39,9.7,44,Performance Learning Center's percentage of students with discipline incidents is in the 44th percentile of all Georgia schools.,49,20,Performance Learning Center's total number of discipline incidents is in the 20th percentile of all Georgia schools.,0.121,33,Performance Learning Center's incidents per student rate is in the 33rd percentile of all Georgia schools.
Richmond County – W.S. Hornsby Elementary School,362,6,W.S. Hornsby Elementary School's enrollment is in the 6th percentile of all Georgia schools.,18,5,25,W.S. Hornsby Elementary School's percentage of students with discipline incidents is in the 25th percentile of all Georgia schools.,28,9,W.S. Hornsby Elementary School's total number of discipline incidents is in the 9th percentile of all Georgia schools.,0.077,21,W.S. Hornsby Elementary School's incidents per student rate is in the 21st percentile of all Georgia schools.
Richmond County – Butler High School,1001,72,Butler High School's enrollment is in the 72nd percentile of all Georgia schools.,433,43.3,98,Butler High School's percentage of students with discipline incidents is in the 98th percentile of all Georgia schools.,1094,95,Butler High School's total number of discipline incidents is in the 95th percentile of all Georgia schools.,1.093,95,Butler High School's incidents per student rate is in the 95th percentile of all Georgia schools.
Richmond County – Garrett Elementary School,536,20,Garrett Elementary School's enrollment is in the 20th percentile of all Georgia schools.,91,17,65,Garrett Elementary School's percentage of students with discipline incidents is in the 65th percentile of all Georgia schools.,209,56,Garrett Elementary School's total number of discipline incidents is in the 56th percentile of all Georgia schools.,0.39,67,Garrett Elementary School's incidents per student rate is in the 67th percentile of all Georgia schools.
Richmond County – Langford Middle School,953,69,Langford Middle School's enrollment is in the 69th percentile of all Georgia schools.,419,44,99,Langford Middle School's percentage of students with discipline incidents is in the 99th percentile of all Georgia schools.,1521,99,Langford Middle School's total number of discipline incidents is in the 99th percentile of all Georgia schools.,1.596,99,Langford Middle School's incidents per student rate is in the 99th percentile of all Georgia schools.
Richmond County – Rollins Elementary School,541,20,Rollins Elementary School's enrollment is in the 20th percentile of all Georgia schools.,104,19.2,71,Rollins Elementary School's percentage of students with discipline incidents is in the 71st percentile of all Georgia schools.,221,59,Rollins Elementary School's total number of discipline incidents is in the 59th percentile of all Georgia schools.,0.409,69,Rollins Elementary School's incidents per student rate is in the 69th percentile of all Georgia schools.
Richmond County – Walker Traditional Elementary School,825,56,Walker Traditional Elementary School's enrollment is in the 56th percentile of all Georgia schools.,54,6.5,32,Walker Traditional Elementary School's percentage of students with discipline incidents is in the 32nd percentile of all Georgia schools.,86,33,Walker Traditional Elementary School's total number of discipline incidents is in the 33rd percentile of all Georgia schools.,0.104,28,Walker Traditional Elementary School's incidents per student rate is in the 28th percentile of all Georgia schools.
Richmond County – Windsor Spring Road Elementary School,554,22,Windsor Spring Road Elementary School's enrollment is in the 22nd percentile of all Georgia schools.,119,21.5,76,Windsor Spring Road Elementary School's percentage of students with discipline incidents is in the 76th percentile of all Georgia schools.,270,64,Windsor Spring Road Elementary School's total number of discipline incidents is in the 64th percentile of all Georgia schools.,0.487,75,Windsor Spring Road Elementary School's incidents per student rate is in the 75th percentile of all Georgia schools.
Richmond County – Hephzibah Middle School,517,18,Hephzibah Middle School's enrollment is in the 18th percentile of all Georgia schools.,183,35.4,95,Hephzibah Middle School's percentage of students with discipline incidents is in the 95th percentile of all Georgia schools.,570,83,Hephzibah Middle School's total number of discipline incidents is in the 83rd percentile of all Georgia schools.,1.103,96,Hephzibah Middle School's incidents per student rate is in the 96th percentile of all Georgia schools.
Richmond County – Barton Chapel Elementary School,600,28,Barton Chapel Elementary School's enrollment is in the 28th percentile of all Georgia schools.,99,16.5,64,Barton Chapel Elementary School's percentage of students with discipline incidents is in the 64th percentile of all Georgia schools.,181,53,Barton Chapel Elementary School's total number of discipline incidents is in the 53rd percentile of all Georgia schools.,0.302,59,Barton Chapel Elementary School's incidents per student rate is in the 59th percentile of all Georgia schools.
Richmond County – Copeland Elementary School,624,31,Copeland Elementary School's enrollment is in the 31st percentile of all Georgia schools.,80,12.8,55,Copeland Elementary School's percentage of students with discipline incidents is in the 55th percentile of all Georgia schools.,218,57,Copeland Elementary School's total number of discipline incidents is in the 57th percentile of all Georgia schools.,0.349,63,Copeland Elementary School's incidents per student rate is in the 63rd percentile of all Georgia schools.
Richmond County – Glenn Hills Elementary School,474,13,Glenn Hills Elementary School's enrollment is in the 13rd percentile of all Georgia schools.,92,19.4,71,Glenn Hills Elementary School's percentage of students with discipline incidents is in the 71st percentile of all Georgia schools.,332,69,Glenn Hills Elementary School's total number of discipline incidents is in the 69th percentile of all Georgia schools.,0.7,87,Glenn Hills Elementary School's incidents per student rate is in the 87th percentile of all Georgia schools.
Richmond County – Hephzibah High School,1132,80,Hephzibah High School's enrollment is in the 80th percentile of all Georgia schools.,467,41.3,98,Hephzibah High School's percentage of students with discipline incidents is in the 98th percentile of all Georgia schools.,1457,98,Hephzibah High School's total number of discipline incidents is in the 98th percentile of all Georgia schools.,1.287,98,Hephzibah High School's incidents per student rate is in the 98th percentile of all Georgia schools.
Richmond County – Merry Elementary School,420,9,Merry Elementary School's enrollment is in the 9th percentile of all Georgia schools.,23,5.5,27,Merry Elementary School's percentage of students with discipline incidents is in the 27th percentile of all Georgia schools.,55,23,Merry Elementary School's total number of discipline incidents is in the 23rd percentile of all Georgia schools.,0.131,35,Merry Elementary School's incidents per student rate is in the 35th percentile of all Georgia schools.
Richmond County – Warren Road Elementary School,714,42,Warren Road Elementary School's enrollment is in the 42nd percentile of all Georgia schools.,43,6,30,Warren Road Elementary School's percentage of students with discipline incidents is in the 30th percentile of all Georgia schools.,71,28,Warren Road Elementary School's total number of discipline incidents is in the 28th percentile of all Georgia schools.,0.099,28,Warren Road Elementary School's incidents per student rate is in the 28th percentile of all Georgia schools.
Richmond County – Westside High School,843,59,Westside High School's enrollment is in the 59th percentile of all Georgia schools.,326,38.7,97,Westside High School's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,931,93,Westside High School's total number of discipline incidents is in the 93rd percentile of all Georgia schools.,1.104,96,Westside High School's incidents per student rate is in the 96th percentile of all Georgia schools.
Richmond County – Bayvale Elementary School,608,28,Bayvale Elementary School's enrollment is in the 28th percentile of all Georgia schools.,96,15.8,62,Bayvale Elementary School's percentage of students with discipline incidents is in the 62nd percentile of all Georgia schools.,251,62,Bayvale Elementary School's total number of discipline incidents is in the 62nd percentile of all Georgia schools.,0.413,70,Bayvale Elementary School's incidents per student rate is in the 70th percentile of all Georgia schools.
Richmond County – Glenn Hills High School,877,62,Glenn Hills High School's enrollment is in the 62nd percentile of all Georgia schools.,313,35.7,95,Glenn Hills High School's percentage of students with discipline incidents is in the 95th percentile of all Georgia schools.,754,89,Glenn Hills High School's total number of discipline incidents is in the 89th percentile of all Georgia schools.,0.86,92,Glenn Hills High School's incidents per student rate is in the 92nd percentile of all Georgia schools.
Richmond County – Sego Middle School,664,36,Sego Middle School's enrollment is in the 36th percentile of all Georgia schools.,257,38.7,97,Sego Middle School's percentage of students with discipline incidents is in the 97th percentile of all Georgia schools.,603,84,Sego Middle School's total number of discipline incidents is in the 84th percentile of all Georgia schools.,0.908,93,Sego Middle School's incidents per student rate is in the 93rd percentile of all Georgia schools.
Richmond County – Johnson Magnet,712,41,Johnson Magnet's enrollment is in the 41st percentile of all Georgia schools.,84,11.8,51,Johnson Magnet's percentage of students with discipline incidents is in the 51st percentile of all Georgia schools.,125,42,Johnson Magnet's total number of discipline incidents is in the 42nd percentile of all Georgia schools.,0.176,43,Johnson Magnet's incidents per student rate is in the 43rd percentile of all Georgia schools.
Richmond County – Josey High School,714,42,Josey High School's enrollment is in the 42nd percentile of all Georgia schools.,382,53.5,100,Josey High School's percentage of students with discipline incidents is in the 100th percentile of all Georgia schools.,1269,97,Josey High School's total number of discipline incidents is in the 97th percentile of all Georgia schools.,1.777,99,Josey High School's incidents per student rate is in the 99th percentile of all Georgia schools.
Richmond County – Blythe Elementary School,365,6,Blythe Elementary School's enrollment is in the 6th percentile of all Georgia schools.,75,20.5,74,Blythe Elementary School's percentage of students with discipline incidents is in the 74th percentile of all Georgia schools.,239,61,Blythe Elementary School's total number of discipline incidents is in the 61st percentile of all Georgia schools.,0.655,85,Blythe Elementary School's incidents per student rate is in the 85th percentile of all Georgia schools.
